Feature,Feature2,Peak.Duration,Vehicle.Speed..mph.,Peak.Z.Accel,Peak.Lat.Accel,Peak.Long.Accel,Front.Slip,Right.Slip,Left.Slip,Direction,MLT1.Feature,MLT2.Feature,File,Date,,,,,,,,,,,,
B1,P1,0.214,42.9225774914814,2.21681112588938,2.01346756105264,3.3970304368623,0.916171092715379,0.180346283658558,1.08482638589162,Left1,Type1,N/A,Cal_EL1000Avg_4044,20180709,,,,,,,,,,,,
B1,P1,0.192,47.1959804276901,2.59602985708124,1.07656670948411,2.1817877824955,0.931959610832003,0.0966888932834166,1.8312272489251,Left1,Type1,N/A,Cal_EL1000Avg_4549,20180709,,,,,,,,,,,,
B1,P1,0.187,47.9111669488021,2.5198666387325,1.7719387011771,1.07687558484949,0.880631231579632,0.176653089054305,1.66255838545664,Left1,Type1,N/A,Cal_EL1000Avg_4549,20180709,,,,,,,,,,,,
B1,P1,0.205,46.3096879240101,2.60642334005836,1.56687134818163,1.65249821337478,0.880180187034792,0.112326733003307,1.52023644440045,Left1,Type1,N/A,Cal_EL1000Avg_4549,20180709,,,,,,,,,,,,
B1,P1,0.193,49.6867900914735,2.77789472158901,1.64281723711242,2.30053451557326,0.983065768793045,0.15395269908681,1.7007192957682,Left1,Type1,N/A,Cal_EL1000Avg_4549,20180709,,,,,,,,,,,,
B1,P1,0.196,51.2743762158811,2.62146273700104,0.624792910974035,1.53704929444818,0.976394693000055,0.188269881411247,2.00093224879419,Left1,Type1,N/A,Cal_EL1000Avg_4549,20180709,,,,,,,,,,,,
B1,P1,0.206,49.0906220973746,2.53389507882128,0.688542360513282,1.70328047797513,0.829959762482635,0.170973303109564,1.79139158955451,Left1,Type1,N/A,Cal_EL1000Avg_5054,20180709,,,,,,,,,,,,
B1,P1,0.183,53.0191076095378,2.65894560429775,0.491698808199109,1.59426206353082,1.06972902402416,0.10627355701074,2.15132233267171,Left1,Type1,N/A,Cal_EL1000Avg_5054,20180709,,,,,,,,,,,,
B1,P1,0.179,51.3582751612956,2.62208508939293,1.1969528809558,1.4309456491576,0.844871625599541,0.135771506947147,1.87804027373511,Left1,Type1,N/A,Cal_EL1000Avg_5054,20180709,,,,,,,,,,,,
B1,P1,0.183,51.9132007272135,2.61635637219159,1.1384752990002,1.58135478730538,0.848307310833175,0.138157685112952,1.94211281457253,Left1,Type1,N/A,Cal_EL1000Avg_5054,20180709,,,,,,,,,,,,
B1,P1,0.192,53.245558200968,2.6888531614597,1.74200826102383,2.27251717759309,0.926235092699526,0.171158754359317,2.30104644820082,Left1,Type1,N/A,Cal_EL1000Avg_5054,20180709,,,,,,,,,,,,
